ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	is_neuronal_term
GO:0031589	cell-substrate adhesion	362	0.426294659164943	1.34861836442516	0.000103217711537115	0.00102033569530953	0.000728766694318608	7197	tags=50%, list=33%, signal=34%	15404/15434/14729/22408/12578/16007/15227/16402/17926/14219/195209/14115/14369/22417/16475/56320/12977/12032/268709/21825/12125/13845/16449/107581/17118/15379/18792/24066/20410/72434/109648/14456/17242/18081/225631/12927/14366/11465/11490/18167/30060/22371/22174/170758/22793/72007/225392/329872/23892/22339/17387/12490/19261/21754/13835/11806/27279/16542/277360/16776/12842/56753/14787/240675/18128/20807/12817/68169/17130/11482/18591/20194/21838/18708/192897/19229/16780/100952/13636/170736/11601/242409/230959/12053/19242/16782/21367/17127/19354/23795/16401/12043/380924/19303/56013/11606/12554/244667/110279/12512/16404/64074/12501/20971/70450/270190/16419/16777/77569/64075/22329/18754/74199/18552/20411/15117/16415/17877/110253/57373/11687/14343/20377/16852/16398/13829/21844/17886/12571/11932/26921/68750/140476/246177/94214/12721/108911/16403/105352/19272/13837/16971/329278/14114/64099/83436/68732/16420/29873/17283/20745/13640/81877/74030/109711/50918/114249/11600/225341/67896/16421/16414/105298/19944/18787/12552/99571/330662/22288/226519/241639/20779/16480/109700/14161/19271/18606/16399/18074/12568/68813/19015	FALSE
GO:1903531	negative regulation of secretion by cell	184	0.484450580661448	1.49780595241622	0.000105473814164166	0.00104064812829912	0.000743274688806537	5738	tags=48%, list=27%, signal=36%	12918/13615/11551/13614/16324/15227/27220/22226/99296/13491/217344/16878/15551/16846/19224/14687/13924/16160/20787/16009/22044/21937/16535/16159/12922/18413/14063/13650/22228/22782/16514/16367/64654/18128/19712/109934/545156/16156/16322/110385/14062/20983/100503659/58185/12801/208188/11957/18300/20617/12257/223775/16193/18441/56013/18999/11747/110279/75597/12652/11816/209630/12919/12921/12953/18168/93691/15565/14678/68039/59090/18166/15368/20377/11539/52055/57915/56458/14681/18125/56695/21463/17470/18133/26921/16500/17773/18641/14118/58991	FALSE
GO:0003161	cardiac conduction system development	19	0.77940537905655	2.07397664813073	0.000106601865652085	0.0010497745627072	0.000749793172345891	1915	tags=58%, list=9%, signal=53%	20429/16373/15902/18091/16523/16392/21386/14465/17292/76365/13511	FALSE
GO:0003230	cardiac atrium development	41	0.676673199554771	1.94304322797406	0.00010998602077049	0.00107898999503498	0.000770660063643024	958	tags=34%, list=4%, signal=33%	20429/18741/18121/16007/18091/14463/16392/54485/22418/17292/12156/22411/20677/22761	FALSE
GO:0035850	epithelial cell differentiation involved in kidney development	40	0.676894176707701	1.93700172410269	0.00010998602077049	0.00107898999503498	0.000770660063643024	2987	tags=55%, list=14%, signal=47%	23967/14462/20472/14234/12484/14573/58198/16878/211401/22431/12705/16449/16869/66277/17395/70350/23892/18128/14042/109674/18504/18591	FALSE
GO:0010453	regulation of cell fate commitment	41	0.676270989790601	1.94188829682116	0.000111114072683765	0.0010879919616952	0.000777089647078647	2934	tags=46%, list=14%, signal=40%	15205/12159/14581/66042/20671/14369/16911/14912/22418/17292/69743/22411/18508/13380/30051/18509/83430/20319/230587	FALSE
GO:2000181	negative regulation of blood vessel morphogenesis	109	0.535218657736777	1.61950945377039	0.000112242124695406	0.00109695989541635	0.000783494922756911	4112	tags=41%, list=19%, signal=34%	15402/17300/13638/16600/11504/12741/16598/13197/11555/24064/107831/22417/20620/16878/66214/21825/15945/15242/209743/269120/18053/12922/192187/12827/230775/238328/69601/106014/13836/11602/12766/19274/21826/20358/100952/21926/20351/11601/23876/19242/26427/381290/11606/20296/19219	FALSE
GO:0048286	lung alveolus development	67	0.604219212407472	1.77939119813648	0.000113370176802477	0.00110589398880907	0.000789876028248443	2440	tags=33%, list=11%, signal=29%	21412/15402/15375/12159/20674/21869/13615/15227/106522/14465/20897/16878/14184/11421/104798/74318/14284/19227/22339/18590/16011/16542	FALSE
GO:0032924	activin receptor signaling pathway	44	0.61979572650601	1.78849979042364	0.000121299887990532	0.00118101774182872	0.000843532574230916	4314	tags=52%, list=20%, signal=42%	21815/238057/14313/242316/16324/12622/13590/83554/18119/17131/17684/69585/16323/240025/24117/228839/223642/17130/12627/17127/14180/12165/21812	FALSE
GO:0060008	Sertoli cell differentiation	28	0.708171830359692	1.96940248281074	0.000123567110218771	0.00120083075156212	0.000857683859611098	1838	tags=39%, list=9%, signal=36%	21412/20682/14463/20675/26423/22417/20681/22431/18211/19401/14609	FALSE
