gene	source	is_derived	is_external	k119ub_ctrl_signal	k119ub_log2fc	k119ub_decile
Adgrg4	external	FALSE	TRUE	NA	NA	NA
Adgrg6	both	TRUE	TRUE	0.802276	-0.358882	4
Adgrl1	both	TRUE	TRUE	0.952197	-0.204672	5
Adgrl2	both	TRUE	TRUE	2.334144	0.117822	9
Adgrl3	both	TRUE	TRUE	1.308839	0.498302	7
Adgrl4	external	FALSE	TRUE	1.106585	0.552599	6
Adgrv1	both	TRUE	TRUE	0.759917	-0.162024	4
Adipoq	both	TRUE	TRUE	0.68716	-0.334947	3
Adm	both	TRUE	TRUE	8.707801	0.15831	10
Adnp	both	TRUE	TRUE	0.58601	-0.40843	3
Adnp2	both	TRUE	TRUE	1.07851	0.178972	6
Adora1	both	TRUE	TRUE	1.692688	-0.11569	8
Adora2a	both	TRUE	TRUE	3.794263	-0.161978	10
Adora2b	both	TRUE	TRUE	2.059919	-0.325734	9
Adora3	both	TRUE	TRUE	1.06832	-0.328104	6
Adra1a	both	TRUE	TRUE	2.121846	0.377265	9
Adra1b	both	TRUE	TRUE	0.984872	-0.115537	6
Adra1d	both	TRUE	TRUE	4.372051	-0.121247	10
Adra2a	both	TRUE	TRUE	7.63325	-0.069874	10
Adra2b	both	TRUE	TRUE	6.321451	-0.394833	10
Adra2c	both	TRUE	TRUE	6.292099	-0.164568	10
Adrb1	both	TRUE	TRUE	5.945056	0.098982	10
Adrb2	both	TRUE	TRUE	5.983406	0.372991	10
Afdn	both	TRUE	TRUE	0.664907	-0.106451	3
Aff2	both	TRUE	TRUE	0.747026	0.394067	4
Afg2a	both	TRUE	TRUE	0.676134	-0.158524	3
Afg3l2	both	TRUE	TRUE	0.513607	-0.292992	2
Agap2	both	TRUE	TRUE	2.209913	-0.155899	9
Agbl4	both	TRUE	TRUE	0.448686	-0.30081	1
Ager	both	TRUE	TRUE	0.839441	-0.113752	5
Ago2	external	FALSE	TRUE	1.741514	-0.010341	8
Ago4	both	TRUE	TRUE	0.45455	-0.21611	2
Agrn	both	TRUE	TRUE	1.277675	-0.145164	7
Agt	both	TRUE	TRUE	1.908949	0.177479	9
Agtpbp1	both	TRUE	TRUE	0.881765	0.158073	5
Agtr1a	both	TRUE	TRUE	0.875209	-0.243998	5
Agtr1b	both	TRUE	TRUE	0.380244	-0.385233	1
Agtr2	both	TRUE	TRUE	0.544851	-0.020432	2
Ahi1	both	TRUE	TRUE	1.079958	-0.118098	6
Aifm1	both	TRUE	TRUE	0.341661	-0.109169	1
Aim2	both	TRUE	TRUE	1.397766	0.655635	7
Aimp2	both	TRUE	TRUE	0.458988	0.179321	2
Ak7	both	TRUE	TRUE	0.599628	-0.186706	3
Ak8	both	TRUE	TRUE	1.005353	-0.081618	6
Akap12	both	TRUE	TRUE	0.886492	0.057235	5
Akap5	both	TRUE	TRUE	1.938219	-0.054372	9
Akap7	both	TRUE	TRUE	1.019986	0.174826	6
Akirin2	both	TRUE	TRUE	0.850797	0.21675	5
Akna	both	TRUE	TRUE	2.618973	-0.173453	10
Akp3	both	TRUE	TRUE	2.620073	0.092229	10
Akt1	both	TRUE	TRUE	2.276193	-0.118756	9
Akt1s1	both	TRUE	TRUE	1.081153	-0.041173	6
Akt2	both	TRUE	TRUE	1.033684	0.151903	6
Akt3	both	TRUE	TRUE	0.5593	0.064315	2
Alcam	both	TRUE	TRUE	1.319361	0.273316	7
Aldh1a2	both	TRUE	TRUE	1.208917	-0.18449	7
Aldh1a3	both	TRUE	TRUE	1.439289	-0.237958	8
Aldh1a7	external	FALSE	TRUE	0.59605	-0.322274	3
Aldh3a2	both	TRUE	TRUE	0.859439	0.199571	5
Aldh5a1	both	TRUE	TRUE	0.607663	-0.191553	3
Alg10b	both	TRUE	TRUE	0.505462	0.30844	2
Alg13	both	TRUE	TRUE	0.328442	-0.154434	1
Alk	both	TRUE	TRUE	2.482525	0.022852	9
Alkal1	both	TRUE	TRUE	1.437473	0.165574	8
Alkal2	both	TRUE	TRUE	3.031509	-0.0827	10
Alkbh1	both	TRUE	TRUE	0.305644	-0.201696	1
