GOID	TERM	n_mouse_genes
GO:0032289	central nervous system myelin formation	8
GO:0036466	synaptic vesicle recycling via endosome	8
GO:0061002	negative regulation of dendritic spine morphogenesis	8
GO:0097151	positive regulation of inhibitory postsynaptic potential	8
GO:0110088	hippocampal neuron apoptotic process	8
GO:1904953	Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	8
GO:1905806	regulation of synapse pruning	8
GO:1990709	presynaptic active zone organization	8
GO:2000809	positive regulation of synaptic vesicle clustering	8
GO:0002372	myeloid dendritic cell cytokine production	7
GO:0002606	positive regulation of dendritic cell antigen processing and presentation	7
GO:0002733	regulation of myeloid dendritic cell cytokine production	7
GO:0002735	positive regulation of myeloid dendritic cell cytokine production	7
GO:0008582	regulation of synaptic assembly at neuromuscular junction	7
GO:0014042	positive regulation of neuron maturation	7
GO:0016198	axon choice point recognition	7
GO:0021828	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	7
GO:0021856	hypothalamic tangential migration using cell-axon interactions	7
GO:0021894	cerebral cortex GABAergic interneuron development	7
GO:0030885	regulation of myeloid dendritic cell activation	7
GO:0048842	positive regulation of axon extension involved in axon guidance	7
GO:0098943	neurotransmitter receptor transport, postsynaptic endosome to lysosome	7
GO:0098977	inhibitory chemical synaptic transmission	7
GO:0099179	regulation of synaptic membrane adhesion	7
GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration	7
GO:0140252	regulation protein catabolic process at postsynapse	7
GO:0150003	regulation of spontaneous synaptic transmission	7
GO:0150012	positive regulation of neuron projection arborization	7
GO:0150037	regulation of calcium-dependent activation of synaptic vesicle fusion	7
GO:0150052	regulation of postsynapse assembly	7
GO:1901166	neural crest cell migration involved in autonomic nervous system development	7
GO:1901626	regulation of postsynaptic membrane organization	7
GO:1902952	positive regulation of dendritic spine maintenance	7
GO:1990048	anterograde neuronal dense core vesicle transport	7
GO:2001198	regulation of dendritic cell differentiation	7
GO:0014043	negative regulation of neuron maturation	6
GO:0021785	branchiomotor neuron axon guidance	6
GO:0021902	commitment of neuronal cell to specific neuron type in forebrain	6
GO:0031914	negative regulation of synaptic plasticity	6
GO:0036514	dopaminergic neuron axon guidance	6
GO:0048682	sprouting of injured axon	6
GO:0051584	regulation of dopamine uptake involved in synaptic transmission	6
GO:0051940	regulation of catecholamine uptake involved in synaptic transmission	6
GO:0060024	rhythmic synaptic transmission	6
GO:0097490	sympathetic neuron projection extension	6
GO:0098957	anterograde axonal transport of mitochondrion	6
GO:0098961	dendritic transport of ribonucleoprotein complex	6
GO:0098963	dendritic transport of messenger ribonucleoprotein complex	6
GO:0099191	trans-synaptic signaling by BDNF	6
GO:0099578	regulation of translation at postsynapse, modulating synaptic transmission	6
GO:0110089	regulation of hippocampal neuron apoptotic process	6
GO:0140650	radial glia-guided pyramidal neuron migration	6
GO:1902951	negative regulation of dendritic spine maintenance	6
GO:1904158	axonemal central apparatus assembly	6
GO:1904938	planar cell polarity pathway involved in axon guidance	6
GO:1990049	retrograde neuronal dense core vesicle transport	6
GO:2000977	regulation of forebrain neuron differentiation	6
GO:0002175	protein localization to paranode region of axon	5
GO:0002270	plasmacytoid dendritic cell activation	5
GO:0003358	noradrenergic neuron development	5
GO:0016183	synaptic vesicle coating	5
GO:0016191	synaptic vesicle uncoating	5
GO:0016199	axon midline choice point recognition	5
GO:0021523	somatic motor neuron differentiation	5
GO:0021853	cerebral cortex GABAergic interneuron migration	5
GO:0022009	central nervous system vasculogenesis	5
GO:0023041	neuronal signal transduction	5
GO:0031133	regulation of axon diameter	5
GO:0033564	anterior/posterior axon guidance	5
GO:0035283	central nervous system segmentation	5
GO:0036483	neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	5
GO:0036515	serotonergic neuron axon guidance	5
GO:0048677	axon extension involved in regeneration	5
GO:0048686	regulation of sprouting of injured axon	5
GO:0048936	peripheral nervous system neuron axonogenesis	5
GO:0060012	synaptic transmission, glycinergic	5
GO:0060025	regulation of synaptic activity	5
GO:0060164	regulation of timing of neuron differentiation	5
GO:0061643	chemorepulsion of axon	5
GO:0071205	protein localization to juxtaparanode region of axon	5
GO:0090259	regulation of retinal ganglion cell axon guidance	5
GO:0097116	gephyrin clustering involved in postsynaptic density assembly	5
GO:0097492	sympathetic neuron axon guidance	5
GO:0098920	retrograde trans-synaptic signaling by lipid	5
GO:0098921	retrograde trans-synaptic signaling by endocannabinoid	5
GO:0098942	retrograde trans-synaptic signaling by trans-synaptic protein complex	5
GO:0098971	anterograde dendritic transport of neurotransmitter receptor complex	5
GO:0099163	synaptic signaling by nitric oxide	5
GO:0099183	trans-synaptic signaling by BDNF, modulating synaptic transmission	5
