task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1456	b3/d2815e	52138857	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:31.988	6m 44s	6m 11s	928.3%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1411	76/96221e	52138951	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:06:31.447	5m 29s	4m 46s	1226.3%	20.2 GB	79.8 GB	19.3 GB	7.8 GB
1446	0b/8924a7	52138338	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:27:08.481	9m 7s	8m 41s	1049.0%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1427	c1/886548	52138274	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:20:38.435	6m 30s	5m 35s	1246.3%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1431	d2/030f3d	52138278	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:20:38.846	6m 14s	5m 24s	1276.4%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1428	46/42d333	52138275	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:20:38.543	5m 45s	4m 49s	1257.2%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1407	ca/1aeb9e	52138362	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:29:08.449	5m 22s	4m 55s	1295.7%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1430	75/7d3e4d	52138277	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:20:38.761	5m 14s	4m 29s	1303.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1450	2d/0476c4	52138713	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:48:16.101	5m 15s	4m 31s	1292.7%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1424	8e/cbefba	52139009	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:12:31.442	5m 55s	4m 50s	1259.4%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1441	97/009862	52138939	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:05:01.249	5m 30s	5m 18s	1209.4%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1429	f6/3722ac	52138276	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:20:38.668	7m 15s	6m 19s	935.4%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1410	d1/18771c	52138952	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:06:31.614	6m 29s	5m 46s	1254.4%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1455	dd/793923	52138855	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:31.557	7m 59s	7m 23s	951.8%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1350	b0/65c30f	52138118	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:18:23.405	7m	6m 1s	960.1%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1439	90/9f2a12	52138938	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:05:01.129	6m 15s	5m 53s	1273.3%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1453	36/0a19a0	52138715	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:48:16.509	7m 14s	6m 27s	911.0%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1406	98/5c9091	52138949	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:06:31.144	8m 40s	7m 52s	1002.4%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1445	4e/250d5a	52138337	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:27:08.361	6m 23s	5m 58s	1200.7%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1422	5a/dbaaf5	52139007	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:12:31.157	5m 40s	4m 40s	1291.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1443	4a/290a1e	52138783	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:51:46.114	7m 15s	7m 3s	1250.7%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1426	b0/9e1846	52139010	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:12:31.608	6m 24s	5m 25s	1243.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
