gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Runx1	-0.368050920144696	0.425368526	-0.092052528	0.685676335	4.52e-09	23	5	TRUE	MeCP2 Down
S100a13	-0.469089338265921	0.50552798	NA	NA	NA	NA	NA	NA	No peak
Sacs	-0.137232697036367	0.375634945	-0.066799246	0.774366588	0.774366588	1	0	FALSE	No peak
Saxo1	-0.227911120465874	0.35241705	-0.019708731	0.950338287	0.391442651	5	0	FALSE	No peak
Scai	-0.366439254579338	0.349913011	-0.066243585	0.775505133	0.775505133	1	0	FALSE	No peak
Scg5	-0.326945705713573	0.807142074	-0.150236816	0.450651598	0.450651598	1	0	FALSE	No peak
Sclt1	-0.239531557947485	0.831806439	-0.016270788	0.960368716	0.960368716	1	0	FALSE	No peak
Scn9a	-0.204228080452848	0.289728578	NA	NA	NA	NA	NA	NA	No peak
Scrg1	-0.41261425524105	0.492356114	NA	NA	NA	NA	NA	NA	No peak
Sec23a	-0.387667259122733	0.724217708	-0.041522723	0.875354551	0.875354551	1	0	FALSE	No peak
Sec24d	-0.213379304987562	0.209779785	0.071537236	0.76654837	0.76654837	1	0	FALSE	No peak
Sema3g	-0.357402065502495	0.576182516	-0.060295391	0.796654534	0.796654534	1	0	FALSE	No peak
Septin11	-0.166859495088785	0.397094366	0.013361639	0.967830501	0.967830501	1	0	FALSE	No peak
Serp2	-0.400445970360867	0.639008053	0.8683209	0.013801557	6.2e-05	3	3	TRUE	MeCP2 Up
Setbp1	-0.177094577739442	0.623430623	-0.062461975	0.788143048	0.034807899	3	1	TRUE	MeCP2 Down
Sfswap	-0.229026633630129	0.746333374	-0.101200835	0.644315363	0.00529865	8	1	TRUE	MeCP2 Down
Sgce	-0.214559251961982	0.240606246	NA	NA	NA	NA	NA	NA	No peak
Sgms1	-0.110739423945883	0.390216172	-0.106050376	0.619150797	0.359939105	3	0	FALSE	No peak
Sgpp1	-0.43033660341381	0.509272367	NA	NA	NA	NA	NA	NA	No peak
