"mecp2_Fold","mecp2_FDR","h2a_Fold","h2a_FDR","overlap_frac_mecp2","overlap_frac_h2a","sig","quadrant"
0.001523213,0.996685272,0.715446376,0.010071295,1,0.607262302914477,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.024219391,0.93552948,-0.152169175,0.264177929,1,0.773977196512408,"Not significant","Q3 (MeCP2 down / H2A down)"
0.243193517,0.270571817,0.306719548,0.017977111,1,0.547819971870605,"Not significant","Q1 (MeCP2 up / H2A up)"
0.113592329,0.614423704,0.592910172,0.000214773,0.967359050445104,0.769321533923304,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.034870304,0.898972035,-0.058123901,0.697726124,1,0.627,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.077292206,0.73251713,-0.196582776,0.266763642,1,0.697228144989339,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.06506593,0.783560014,0.053371313,0.749124691,1,0.600571195430437,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.029183587,0.918855077,-0.296364751,0.120496594,1,0.674517192651908,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.204723956,0.343460345,-0.316513223,0.029219316,1,0.795612627073301,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.04764176,0.85399104,0.339440729,0.040046661,1,0.569607843137255,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.014283749,0.965754862,0.490600266,0.000265068,1,0.514972999509082,"Not significant","Q2 (MeCP2 down / H2A up)"
0.06302379,0.797944099,0.204776056,0.19824525,1,0.85658409387223,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.015912479,0.96170901,0.039914142,0.814403835,1,0.907068062827225,"Not significant","Q2 (MeCP2 down / H2A up)"
0.012811069,0.969482982,0.459682083,6.63e-05,1,0.592578849721707,"Not significant","Q1 (MeCP2 up / H2A up)"
0.028202099,0.923162057,0.260536972,0.043682845,1,0.636430407638634,"Not significant","Q1 (MeCP2 up / H2A up)"
0.147282787,0.489321911,0.322397588,0.032495819,1,0.65008025682183,"Not significant","Q1 (MeCP2 up / H2A up)"
0.026423289,0.928323275,0.347652494,0.040792494,1,0.948581560283688,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.025575908,0.932516552,0.488927352,0.00012447,1,0.723415682062299,"Not significant","Q2 (MeCP2 down / H2A up)"
0.053748952,0.826612137,0.565276087,4.07e-05,1,0.708705357142857,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.069796337,0.760316661,0.166640049,0.230591825,1,0.799473684210526,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.156915676,0.469473127,0.758058883,2.65e-06,0.654427645788337,0.798068481123793,"Not significant","Q2 (MeCP2 down / H2A up)"
0.032962196,0.906654957,0.197094797,0.276867186,1,0.510247349823322,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.035800917,0.897156219,0.03381529,0.853148562,1,0.641913152926369,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.045265015,0.861937405,0.318676791,0.008122659,1,0.589697243560777,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.079947023,0.729163165,-0.131046317,0.45045035,1,0.720963172804533,"Not significant","Q3 (MeCP2 down / H2A down)"
0.055283269,0.821268086,0.124100555,0.421167615,1,0.512404149751917,"Not significant","Q1 (MeCP2 up / H2A up)"
0.072889596,0.751646476,0.242376886,0.116993772,1,0.579916815210933,"Not significant","Q1 (MeCP2 up / H2A up)"
0.011246282,0.974293235,-0.596766153,0.001035575,1,0.544830965213131,"Not significant","Q4 (MeCP2 up / H2A down)"
-0.096778687,0.655527728,0.090044753,0.49766121,1,0.702218027371402,"Not significant","Q2 (MeCP2 down / H2A up)"
0.11324244,0.590442009,0.517163533,0.000922677,1,0.856302521008403,"Not significant","Q1 (MeCP2 up / H2A up)"
0.742134497,0.01032583,0.569846375,1.59e-05,1,0.544890162368672,"Significant","Q1 (MeCP2 up / H2A up)"
0.047960905,0.853115986,0.474613937,0.000291184,1,0.635689569945625,"Not significant","Q1 (MeCP2 up / H2A up)"
0.978536961,0.001936634,0.665147056,1.32e-05,0.93626138189609,0.605472809144441,"Significant","Q1 (MeCP2 up / H2A up)"
-0.010970179,0.975078181,-0.198629954,0.080449307,1,0.533093053735256,"Not significant","Q3 (MeCP2 down / H2A down)"
