"peak_id","mecp2_Fold","mecp2_FDR","SYMBOL"
"mecp2_peak_242",-0.008449922,0.981570549,"Ercc5"
"mecp2_peak_243",0.075205489,0.754283895,"Hdac4"
"mecp2_peak_244",0.018388185,0.95316171,"Dner"
"mecp2_peak_245",-0.067408229,0.772726745,"Psen2"
"mecp2_peak_249",-0.01314203,0.968934644,"Ptpn14"
"mecp2_peak_250",0.202546249,0.3247088,"Thsd7b"
"mecp2_peak_251",0.020844802,0.951382822,"Nrp2"
"mecp2_peak_252",-0.100577081,0.652127433,"Nppc"
"mecp2_peak_253",-0.029183587,0.918855077,"Sh3bp4"
"mecp2_peak_254",-0.087789679,0.688738959,"Vxn"
"mecp2_peak_255",-0.052352259,0.835198576,"Rps6kc1"
"mecp2_peak_257",-0.204723956,0.343460345,"Sec16b"
"mecp2_peak_258",0.031228358,0.911442993,"Irs1"
"mecp2_peak_260",-0.066643884,0.772173078,"Agap1"
"mecp2_peak_261",0.012963362,0.971884601,"Cdc73"
"mecp2_peak_261",0.012963362,0.971884601,"B3galt2"
"mecp2_peak_262",-0.009891951,0.977867754,"Inava"
"mecp2_peak_263",-0.014283749,0.965754862,"Mtarc2"
"mecp2_peak_264",-0.172308205,0.429314341,"Fam178b"
"mecp2_peak_265",-0.017853515,0.954905598,"Pam"
"mecp2_peak_266",-0.429067842,0.097454336,"Esrrg"
"mecp2_peak_270",-0.015912479,0.96170901,"Nmnat2"
"mecp2_peak_271",0.018945396,0.951514489,"Gpc1"
"mecp2_peak_274",0.032863028,0.906800201,"Astn1"
"mecp2_peak_280",2.961014799,3.5e-13,"Col9a1"
"mecp2_peak_282",-0.41497791,0.140860335,"Astn1"
"mecp2_peak_283",0.840036599,0.004539721,"Sdccag8"
"mecp2_peak_284",-0.231554429,0.296798623,"Tbc1d8"
"mecp2_peak_285",1.680000374,3.53e-07,"Tnr"
"mecp2_peak_287",-0.046162016,0.861302313,"Rps6kc1"
"mecp2_peak_290",-0.089018251,0.690597454,"Vangl2"
"mecp2_peak_292",-0.039891091,0.882960762,"Disp1"
"mecp2_peak_293",-0.067402014,0.778332985,"Pde6d"
"mecp2_peak_293",-0.067402014,0.778332985,"Cops7b"
"mecp2_peak_294",-0.063091437,0.79708526,"Nek7"
"mecp2_peak_295",1.131031976,0.002394866,"Aff3"
"mecp2_peak_297",-0.201045281,0.403931013,"Aff3"
"mecp2_peak_298",-0.000910715,0.998075144,"Gli2"
"mecp2_peak_301",-0.202607023,0.359192782,"Nav1"
"mecp2_peak_302",-0.032035852,0.909105413,"Msc"
"mecp2_peak_303",0.147282787,0.489321911,"Aff3"
"mecp2_peak_304",-0.034162933,0.901985438,"Dsel"
"mecp2_peak_306",-0.025575908,0.932516552,"Tor3a"
"mecp2_peak_307",0.053748952,0.826612137,"Lamc2"
"mecp2_peak_308",-0.039765757,0.885232336,"Irs1"
"mecp2_peak_309",2.218355577,4.95e-10,"Col9a1"
"mecp2_peak_310",-0.018564195,0.95257341,"Mroh3"
"mecp2_peak_311",-0.106379648,0.621254345,"Smyd3"
"mecp2_peak_312",-0.078794338,0.727501464,"1700025G04Rik"
"mecp2_peak_313",-0.180403512,0.388200695,"Tns1"
"mecp2_peak_314",0.041844827,0.876285848,"Smyd3"
"mecp2_peak_315",-0.032144504,0.908112749,"Agap1"
"mecp2_peak_316",0.016585262,0.959141475,"Hhipl2"
"mecp2_peak_317",0.001332385,0.997028211,"Trpm8"
"mecp2_peak_318",-0.069796337,0.760316661,"Uck2"
"mecp2_peak_319",-0.156915676,0.469473127,"Mrps9"
"mecp2_peak_321",-0.029773849,0.91694797,"Crocc2"
"mecp2_peak_322",-0.035800917,0.897156219,"Als2"
"mecp2_peak_324",-0.061705002,0.794382293,"Fam126b"
"mecp2_peak_324",-0.061705002,0.794382293,"Ndufb3"
"mecp2_peak_326",-0.015693162,0.962782637,"Zbtb41"
"mecp2_peak_328",-0.264646026,0.23061946,"Olfr1413"
"mecp2_peak_331",-0.328804334,0.140852627,"Tgfb2"
"mecp2_peak_332",0.007215033,0.985161639,"Ush2a"
"mecp2_peak_333",1.208838864,0.000628443,"Gm973"
"mecp2_peak_334",0.027117788,0.928320692,"Ush2a"
"mecp2_peak_335",0.138719309,0.518497447,"Lamb3"
"mecp2_peak_336",-0.066088896,0.817233848,"Epha4"
"mecp2_peak_342",-0.039582142,0.884129791,"Sctr"
"mecp2_peak_343",0.011246282,0.974293235,"Tns1"
"mecp2_peak_346",0.11324244,0.590442009,"Nyap2"
"mecp2_peak_347",-0.154564403,0.492522609,"Stx6"
"mecp2_peak_348",1.731337636,1.34e-07,"Cdk15"
"mecp2_peak_350",0.16035611,0.431069459,"Dner"
"mecp2_peak_351",-0.0313633,0.910576306,"Nr5a2"
"mecp2_peak_352",-0.089778681,0.682572626,"Ahctf1"
"mecp2_peak_353",-0.00187623,0.996021108,"Cd34"
"mecp2_peak_354",0.000303723,0.999328962,"Rgl1"
"mecp2_peak_355",0.047960905,0.853115986,"Gm973"
"mecp2_peak_356",-0.045740507,0.867415989,"Lrrfip1"
"mecp2_peak_357",0.978536961,0.001936634,"St18"
"mecp2_peak_358",-0.010970179,0.975078181,"Arhgef4"
"mecp2_peak_360",0.005638745,0.988762997,"Neu2"
"mecp2_peak_361",0.049058263,0.850301113,"Crocc2"
"mecp2_peak_365",-0.124562041,0.557542475,"Rps6kc1"
"mecp2_peak_366",0.207560262,0.334307353,"Mia3"
"mecp2_peak_369",-0.107872808,0.615737631,"Plekha6"
"mecp2_peak_370",-0.150289694,0.467961034,"Susd4"
"mecp2_peak_371",-0.095894677,0.670532124,"Hdac4"
"mecp2_peak_372",-0.034000795,0.902490279,"Slc9a2"
"mecp2_peak_373",-0.182815026,0.382051362,"Lad1"
"mecp2_peak_374",0.57184638,0.030765964,"Olfml2b"
"mecp2_peak_375",-0.008269159,0.98215155,"Plekha6"
"mecp2_peak_378",-0.005592256,0.988905712,"Creg1"
"mecp2_peak_380",0.046998634,0.858375188,"Bcl2"
"mecp2_peak_383",-0.261281366,0.212209228,"Ramp1"
"mecp2_peak_385",-0.091308375,0.683536483,"Kif1a"
"mecp2_peak_388",0.117183018,0.574442132,"Cfc1"
"mecp2_peak_389",-0.000166113,0.999649116,"Pard3b"
"mecp2_peak_391",-0.098474888,0.654152341,"Nfasc"
"mecp2_peak_392",0.078063458,0.734696975,"Aff3"
"mecp2_peak_393",-0.004976474,0.990157062,"Nfasc"
"mecp2_peak_395",0.091352505,0.684723725,"Sdccag8"
"mecp2_peak_396",0.026347416,0.928775804,"Ptpn14"
"mecp2_peak_397",0.019339524,0.950756762,"Rcsd1"
"mecp2_peak_398",-0.026919042,0.926947691,"Slamf8"
"mecp2_peak_399",0.019123867,0.951415639,"Tnni1"
"mecp2_peak_400",0.212055153,0.355180712,"Nyap2"
"mecp2_peak_402",-0.145471369,0.487045969,"Nucks1"
"mecp2_peak_406",-0.075196313,0.74360536,"Tfb2m"
"mecp2_peak_406",-0.075196313,0.74360536,"Cnst"
"mecp2_peak_408",-0.040088885,0.880372067,"Gli2"
"mecp2_peak_409",-0.126291731,0.55748222,"Tns1"
"mecp2_peak_411",-0.037406038,0.892368735,"Shcbp1l"
"mecp2_peak_412",0.854390784,0.054632089,"Nckap5"
"mecp2_peak_414",-0.047717567,0.850339787,"Cnot11"
"mecp2_peak_415",0.030653666,0.913119579,"Iqca"
"mecp2_peak_416",0.015448522,0.962397862,"Armc9"
"mecp2_peak_420",0.042943548,0.871661961,"Acbd6"
"mecp2_peak_421",-0.060513178,0.833568141,"Aff3"
