ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0032228	regulation of synaptic transmission, GABAergic	43	0.860850675378555	1.33153240886969	0.00405008387414332	0.613008365330382	0.60882090849137	1721	tags=26%, list=8%, signal=24%	21336/12801/224860/66797/12064/18189/13869/69727/21333/170571/192167	MeCP2 fold (median significant)	FALSE	TRUE	21098
GO:0031113	regulation of microtubule polymerization	53	0.848914412367701	1.33130722232109	0.00438094867756539	0.613008365330382	0.60882090849137	1287	tags=11%, list=6%, signal=11%	20393/20257/20617/260315/17755/214444	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0051491	positive regulation of filopodium assembly	34	0.87715772077122	1.32999300944442	0.00283771374850719	0.613008365330382	0.60882090849137	1721	tags=21%, list=8%, signal=19%	234267/14265/18186/214459/18708/329421/192167	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0007616	long-term memory	42	0.859434305519921	1.3272513205154	0.00267700748208006	0.613008365330382	0.60882090849137	1298	tags=24%, list=6%, signal=22%	12307/20614/20393/21336/11514/211612/432530/224938/14799/21333	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0006691	leukotriene metabolic process	22	0.909719840212924	1.32701859388197	0.00329152269839986	0.613008365330382	0.60882090849137	503	tags=14%, list=2%, signal=13%	21898/18783/211666	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0060795	cell fate commitment involved in formation of primary germ layer	29	0.881118999392049	1.32641950585396	0.00420568031676577	0.613008365330382	0.60882090849137	1861	tags=28%, list=9%, signal=25%	14182/214498/23872/13813/12387/14369/13711/14048	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0009312	oligosaccharide biosynthetic process	18	0.921878074470427	1.32170072867103	0.00300853616860133	0.613008365330382	0.60882090849137	10	tags=6%, list=0%, signal=6%	14348	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0010970	transport along microtubule	174	0.770930526950135	1.24016237148727	0.00443340686419549	0.613008365330382	0.60882090849137	1809	tags=10%, list=9%, signal=10%	11735/13426/14265/23859/81907/319613/385668/73916/74362/17755/381269/15251/11774/80718/81896/18040/380614/18039	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0032886	regulation of microtubule-based process	250	0.752354002844419	1.21097198711272	0.00420146779888697	0.613008365330382	0.60882090849137	2008	tags=12%, list=10%, signal=11%	225523/14677/20393/12695/17475/20257/21336/208177/213582/19878/13640/20617/13411/219103/59030/13837/380842/228421/260315/17755/28105/214444/21333/20620/14168/71007/108079/320165/56706/68270	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0042391	regulation of membrane potential	481	0.715508429461165	1.1577737895036	0.00360731540970511	0.613008365330382	0.60882090849137	1961	tags=18%, list=9%, signal=17%	14399/170738/11735/17986/116837/16508/21336/108015/223604/83814/19055/67547/14401/56508/12293/216033/14265/14409/20617/18213/81907/12801/14806/13405/16525/11419/11928/14400/66797/12064/432442/14811/18189/16522/110862/16531/76365/14804/210741/19242/72745/15165/50873/22437/19085/108013/13488/14630/98496/13506/14406/14167/17260/13383/16510/14799/14395/20536/21333/18390/20620/14613/20191/17131/66240/116838/140492/14168/14394/57440/20541/16493/11545/14807/192167/243725/52882/16526/667742/238271/13511/70357/237213/72759/56543/109246	MeCP2 fold (median significant)	FALSE	FALSE	21098
