gene_name	ctrl_aging_up	mut_aging_up	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
1700113B09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700113H08Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700116B05Rik	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
1700119H24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700120E14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700120G07Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700120K04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700121L16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700121N20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700122C19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700122O11Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700123J17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700123K08Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700123M08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700123O12Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700123O20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700123O21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700124L16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700125G02Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
