"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"2310005E17Rik",-0.002966871,0.994092053,0,1,FALSE,-0.310902409,0.091973295,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2310008N11Rik",0.302665843459124,0.015804577,1,7,TRUE,0.34706848338686,2.15e-06,6,11,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"2310011J03Rik",-0.0787790885536449,0.499113747,0,2,FALSE,-0.555554181,1.18e-08,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2310022B05Rik",0.051560817,0.838882094,0,1,FALSE,-0.053007329,0.708709904,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"2310034O05Rik",0.0966922823658654,0.485303208,0,4,FALSE,0.314334722638655,0.011987821,1,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"2310043L19Rik",-0.147839977,0.496348486,0,1,FALSE,0.91492085609369,1.59e-16,2,2,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"2310043O21Rik",-0.0341263440117531,0.887689289,0,2,FALSE,0.080801352,0.601597404,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"2610035D17Rik",-0.600679972292558,0.002914981,3,13,TRUE,-0.378501888419923,0.001456195,4,7,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"2610203C22Rik",-0.087789679,0.688738959,0,1,FALSE,0.113467742006923,0.324147084,0,2,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"2610307P16Rik",0.845793069851014,0.002079334,2,3,TRUE,0.914129091914537,1.12e-33,3,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"2610318M16Rik",0.0302799190322866,0.90796516,0,2,FALSE,0.634442947547217,6.71e-12,3,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"2810032G03Rik",2.07408467220805,5.42e-11,3,5,TRUE,0.892081347207523,5.05e-23,7,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"2810049E08Rik",2.61397063468296,5.42e-19,2,4,TRUE,1.792296078,4.94e-40,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"2810414N06Rik",-0.049035026,0.846449377,0,1,FALSE,0.214624912,0.046768437,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"2900026A02Rik",-0.0787666741685118,0.614553499,0,5,FALSE,-0.417807221549419,0.001049891,3,4,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2900052N01Rik",-0.067726551,0.768254505,0,1,FALSE,-0.147675968,0.250044722,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2900057B20Rik",-0.515918863252331,0.025161191,1,7,TRUE,-0.246094720135515,0.014179672,2,8,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"2900079G21Rik",2.21703732061456,2.78e-16,4,6,TRUE,0.643752938709375,2.92e-08,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"3110009F21Rik",-0.232679341357423,0.22311495,0,3,FALSE,-0.75948398700544,6.05e-08,1,2,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"3110082I17Rik",0.014840828,0.964046238,0,1,FALSE,0.188764753,0.151183745,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"3425401B19Rik",0.0255766859815873,0.905050349,0,2,FALSE,-0.254514427,0.151718202,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"4632428C04Rik",-0.041150156,0.876153565,0,1,FALSE,-0.179459568789402,0.117753482,0,2,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4732490B19Rik",-0.0610234164865766,0.719454869,0,4,FALSE,-0.098944041,0.573066644,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4833415N18Rik",0.0261669159659148,0.16668121,0,14,FALSE,0.157923723606363,0.000194092,4,14,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4833422M21Rik",0.414351492,0.098372791,0,1,FALSE,0.442630176,0.000202362,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4833428L15Rik",0.57592072940366,0.0071443,1,8,TRUE,0.160358281789513,0.085475331,0,5,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4921509O07Rik",0.0532576415438479,0.786663913,0,2,FALSE,0.707902248561101,3.65e-11,6,10,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4921511I17Rik",0.449823221,0.074402002,0,1,FALSE,0.826610852,2.2e-11,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
